               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.024354,            0.010655,                   0,             0.97555,             0.95013,             0.95901,              0.6805,            0.015337,           0.0030366,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.021956,            0.010751,                   0,             0.95308,             0.96747,             0.98522,              0.7062,             0.01512,           0.0027906,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.023373,             0.01037,                   0,             0.95236,             0.95189,             0.97935,             0.71988,            0.015115,           0.0028372,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.027475,             0.01034,                   0,             0.95238,              0.9523,             0.97874,              0.7253,            0.014022,           0.0026259,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.023855,            0.010465,                   0,             0.95083,             0.95238,             0.97912,             0.66479,            0.017115,           0.0028699,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.024067,            0.010857,                   0,             0.95276,             0.97619,             0.98667,             0.72189,            0.014459,           0.0025073,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.025446,            0.010465,                   0,             0.95301,             0.97619,             0.97329,             0.72544,            0.013471,           0.0026955,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.023114,            0.010735,                   0,             0.95109,             0.95238,             0.96912,             0.70776,             0.01493,           0.0027849,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.025908,            0.010434,                   0,             0.93016,             0.95127,             0.96793,              0.7095,            0.014192,           0.0029937,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.022985,           0.0099771,                   0,             0.92987,             0.97619,             0.97089,             0.65011,            0.014352,           0.0030386,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.020951,            0.010112,                   0,             0.95341,             0.97455,             0.97166,             0.77642,            0.011444,           0.0026624,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.025049,            0.009549,                   0,             0.95341,             0.97453,             0.96694,             0.70641,            0.012858,           0.0026674,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.022396,            0.010578,                   0,             0.94753,             0.92857,             0.95999,             0.69295,            0.015021,           0.0030076,                   0,              0.0067,              0.0067,              0.0067
                  52,             0.02202,            0.010125,                   0,             0.85818,             0.90476,              0.9316,             0.69264,            0.013633,           0.0040869,                   0,            0.006634,            0.006634,            0.006634
                  53,              0.0283,             0.00994,                   0,             0.99703,             0.92857,             0.97424,             0.66871,            0.016397,           0.0029706,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.021446,           0.0097029,                   0,             0.95263,             0.97619,             0.97619,             0.69069,            0.013857,           0.0025752,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.023848,            0.010194,                   0,             0.95051,             0.97619,             0.97954,             0.69833,            0.014006,           0.0025839,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.020634,            0.009696,                   0,             0.95344,             0.97507,             0.97709,              0.7481,            0.012682,           0.0027731,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.021393,            0.010383,                   0,             0.95342,             0.97471,             0.97254,             0.73156,            0.013677,           0.0027746,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.022814,           0.0096979,                   0,             0.95208,             0.97619,             0.97952,             0.73157,            0.011794,            0.002711,                   0,            0.006238,            0.006238,            0.006238
                  59,             0.02258,           0.0095478,                   0,             0.95019,             0.95238,              0.9703,             0.74069,            0.011922,            0.002958,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.023139,           0.0096595,                   0,              0.9533,             0.97224,             0.96798,             0.70349,            0.011871,            0.003096,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.021783,           0.0094479,                   0,              0.9512,             0.97619,             0.97606,             0.74855,            0.013183,           0.0027528,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.019863,           0.0098154,                   0,             0.95323,             0.97619,             0.97635,             0.75877,            0.012477,           0.0025175,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.025382,           0.0094041,                   0,             0.95168,             0.97619,             0.96916,             0.73359,            0.012685,           0.0027294,                   0,            0.005908,            0.005908,            0.005908
                  64,             0.02185,           0.0093157,                   0,             0.95321,             0.97025,             0.96995,             0.75268,            0.012488,           0.0027181,                   0,            0.005842,            0.005842,            0.005842
